run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_cost[photometric],interaction_matrix_type[current|desired|mean],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-11T14:30:16,data/playroom/images/DSC05625.jpg,"[2.5172932147979736, -1.8435211181640625, 0.40192317962646484, 1.512284278869629, -1.149131417274475, -1.2708157300949097]","[2.4169461727142334, -1.9148377180099487, 0.42823904752731323, 1.5952978134155273, -1.1988879442214966, -1.347223162651062]",Success,29,"[2.2972092628479004, -1.846773386001587, 0.3917470872402191, 1.5273576974868774, -1.170350432395935, -1.2794097661972046]",282295730.2956426,current,"[0.22008395195007324, 0.003252267837524414, 0.010176092386245728]","[-0.015073418617248535, 0.02121901512145996, 0.008594036102294922]",0.22034308704450556,0.022667040802019162
2026-03-11T14:30:32,data/playroom/images/DSC05774.jpg,"[3.694530725479126, -0.7777143716812134, -4.514017581939697, 0.3019178807735443, -0.7154775857925415, -0.441245973110199]","[3.4104135036468506, -0.8548412919044495, -4.25106143951416, 0.31216832995414734, -0.6531092524528503, -0.46196404099464417]",Success,52,"[3.211942195892334, -0.5390135049819946, -4.68908166885376, 0.3016274571418762, -0.6673926711082458, -0.4325504004955292]",378089202.912217,current,"[0.482588529586792, -0.23870086669921875, 0.1750640869140625]","[0.0002904236316680908, -0.048084914684295654, -0.0086955726146698]",0.5661424089208956,0.04883257973748518
2026-03-11T14:30:38,data/playroom/images/DSC05757.jpg,"[3.1148624420166016, -0.7350034117698669, -4.3299641609191895, -0.3571987450122833, -0.05338659882545471, -0.043030112981796265]","[3.113809108734131, -0.7933343648910522, -4.243216037750244, -0.33153849840164185, -0.05397927016019821, -0.04084135219454765]",Success,17,"[2.87925124168396, -0.5724340677261353, -4.554664134979248, -0.3116898536682129, -0.028192350640892982, -0.07493331283330917]",490442707.05923235,current,"[0.2356112003326416, -0.1625693440437317, 0.2246999740600586]","[-0.045508891344070435, -0.02519424818456173, 0.03190319985151291]",0.3639114008760764,0.0600405833654065
2026-03-11T14:30:46,data/playroom/images/DSC05649.jpg,"[-0.995735228061676, -1.21193265914917, -0.6560700535774231, 0.5896468758583069, 0.031165258958935738, 0.014671344310045242]","[-1.0126845836639404, -1.0933358669281006, -0.7172104716300964, 0.5661788582801819, 0.03217737004160881, 0.015001717954874039]",Success,27,"[-1.0062204599380493, -1.0501093864440918, -0.5667744278907776, 0.6192998886108398, 0.030694685876369476, 0.020829834043979645]",361226890.2337853,current,"[0.010485231876373291, -0.16182327270507812, -0.08929562568664551]","[-0.02965301275253296, 0.0004705730825662613, -0.0061584897339344025]",0.18512271725332066,0.030102356755839967
2026-03-11T14:31:27,data/playroom/images/DSC05801.jpg,"[2.2545464038848877, -0.755365252494812, -0.8659251928329468, 2.480745792388916, 0.4583202302455902, -1.6376402378082275]","[2.152308702468872, -0.7696248292922974, -0.8786611557006836, 2.2933521270751953, 0.49373891949653625, -1.737707257270813]",Failed,200,"[0.8012542128562927, 0.41779986023902893, 0.7337432503700256, 2.6392297744750977, 0.37764772772789, -1.5802576541900635]",317535602.5738035,current,"[1.453292191028595, -1.173165112733841, -1.5996684432029724]","[-0.15848398208618164, 0.0806725025177002, -0.05738258361816406]",2.4591286469845213,0.16586677514817016
2026-03-11T14:31:40,data/playroom/images/DSC05680.jpg,"[-0.5765824317932129, 0.1332968920469284, -0.9717545509338379, -0.6522791385650635, 0.29136398434638977, -1.4396065473556519]","[-0.6025169491767883, 0.14000555872917175, -0.875419020652771, -0.6572903394699097, 0.2889060378074646, -1.3878878355026245]",Success,65,"[-0.5270645022392273, -0.2662644684314728, -0.8269741535186768, -0.6633803248405457, 0.2445048838853836, -1.3878291845321655]",478318863.34816,current,"[-0.049517929553985596, 0.3995613604784012, -0.14478039741516113]","[0.011101186275482178, 0.046859100461006165, -0.05177736282348633]",0.42785823541256784,0.0728267538444963
2026-03-11T14:32:08,data/playroom/images/DSC05769.jpg,"[0.3829261362552643, -3.293001651763916, 1.5860282182693481, 1.99832284450531, 0.02915702387690544, -3.126523733139038]","[0.371491938829422, -3.2174782752990723, 1.7150076627731323, 1.8972487449645996, 0.02679567039012909, -3.1104214191436768]",Success,132,"[0.35083040595054626, -3.282127857208252, 1.7774907350540161, 2.012810468673706, -0.001126250484958291, -3.1348276138305664]",213433171.4548274,current,"[0.03209573030471802, -0.010873794555664062, -0.19146251678466797]","[-0.014487624168395996, 0.030283274361863732, 0.00830388069152832]",0.19443834664322582,0.034630508181566974
2026-03-11T14:32:36,data/playroom/images/DSC05765.jpg,"[-4.0425310134887695, -2.115267753601074, -0.916709303855896, 0.7532484531402588, 1.185231328010559, 1.5569002628326416]","[-4.3304362297058105, -2.156052350997925, -0.9294127225875854, 0.7261321544647217, 1.1613318920135498, 1.6048645973205566]",Success,126,"[-4.256280422210693, -1.9726552963256836, -0.7077734470367432, 0.847978949546814, 1.1821428537368774, 1.6246826648712158]",251960902.04515582,current,"[0.21374940872192383, -0.14261245727539062, -0.20893585681915283]","[-0.09473049640655518, 0.0030884742736816406, -0.06778240203857422]",0.33118169478980974,0.04105479315470395
2026-03-11T14:33:21,data/playroom/images/DSC05769.jpg,"[0.3829261362552643, -3.293001651763916, 1.5860282182693481, 1.99832284450531, 0.02915702387690544, -3.126523733139038]","[0.3914571702480316, -2.999565362930298, 1.5660587549209595, 1.8923439979553223, 0.031467512249946594, -3.0730319023132324]",Failed,200,"[-0.9728949666023254, -2.744234561920166, 1.4190888404846191, 2.0025174617767334, -0.0028194875922054052, 3.017569065093994]",475987615.7425176,current,"[1.3558211028575897, -0.54876708984375, 0.166939377784729]","[-0.00419461727142334, 0.031976511469110847, -6.144092798233032]",1.4721633529281666,0.142830339199499
2026-03-11T14:33:22,data/playroom/images/DSC05652.jpg,"[-0.676211416721344, -1.0475212335586548, -1.0888856649398804, 2.7096259593963623, -0.7466514110565186, -2.689979314804077]","[-0.6391803622245789, -1.1277620792388916, -1.0168296098709106, 2.8812713623046875, -0.7448223829269409, -2.909634828567505]",Success,0,"[-0.6391803622245789, -1.1277620792388916, -1.0168296098709106, 2.8812713623046875, -0.7448223829269409, -2.909634828567505]",375716740.97630095,current,"[-0.03703105449676514, 0.08024084568023682, -0.07205605506896973]","[-0.1716454029083252, -0.0018290281295776367, 0.21965551376342773]",0.11402616973626872,0.16274620028994038
