run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-12T13:27:26,data/apt1/living/data/frame-000193.color.jpg,"[0.06520219892263412, 1.8343900442123413, 1.342810034751892, -2.312389612197876, -0.11824154853820801, -0.8429752588272095]","[0.06212279945611954, 1.8078923225402832, 1.4635320901870728, -2.4536988735198975, -0.11260832101106644, -0.9224916696548462]",Failed,100,"[0.1820867955684662, 1.9669297933578491, 1.045763373374939, -2.2149436473846436, -0.1423249989748001, -1.0091066360473633]",0.8137333989143372,"[-0.11688459664583206, -0.1325397491455078, 0.2970466613769531]","[-0.09744596481323242, 0.024083450436592102, 0.1661313772201538]",0.3456378351277638,0.18288149773407616
2026-03-12T13:28:08,data/apt1/living/data/frame-000522.color.jpg,"[0.9193990230560303, -0.07192890346050262, 1.2818000316619873, -2.3981080055236816, -0.06161382421851158, -0.6726232171058655]","[0.8797764778137207, -0.06539423763751984, 1.334779977798462, -2.2216103076934814, -0.06323560327291489, -0.6410555243492126]",Failed,74,"[2.1997995376586914, 0.3142114579677582, -1.7532939910888672, -1.6240302324295044, -0.1104843020439148, -0.19062989950180054]",1.436224341392517,"[-1.2804005146026611, -0.3861403614282608, 3.0350940227508545]","[-0.7740777730941772, 0.048870477825403214, -0.48199331760406494]",3.3166738735451022,0.9413678034085314
2026-03-12T13:29:03,data/apt1/living/data/frame-000080.color.jpg,"[0.40839099884033203, 0.9807850122451782, 1.3323099613189697, -2.370762348175049, -0.12117850035429001, -1.3576756715774536]","[0.4157752990722656, 0.8967622518539429, 1.3967663049697876, -2.5959997177124023, -0.12712103128433228, -1.2780948877334595]",Failed,100,"[1.0083366632461548, 0.4158933162689209, 1.1907626390457153, -2.5545523166656494, -0.2680493891239166, 1.8905997276306152]",1.772813081741333,"[-0.5999456644058228, 0.5648916959762573, 0.1415473222732544]","[0.18378996849060059, 0.14687088876962662, -3.248275399208069]",0.8361058981163839,3.071124261274212
2026-03-12T13:29:57,data/apt1/living/data/frame-000587.color.jpg,"[0.1975339949131012, 1.0674099922180176, 1.393280029296875, -2.3260087966918945, -0.0782029777765274, -1.581688642501831]","[0.21009710431098938, 1.0196375846862793, 1.4845026731491089, -2.526195526123047, -0.08162427693605423, -1.4963151216506958]",Failed,100,"[0.640647292137146, 1.675903081893921, -0.45353564620018005, -1.5103579759597778, 0.1307010054588318, -2.5342822074890137]",1.0553312301635742,"[-0.4431132972240448, -0.6084930896759033, 1.846815675497055]","[-0.8156508207321167, -0.2089039832353592, 0.9525935649871826]",1.9943272985199132,1.26485934344372
2026-03-12T13:30:53,data/apt1/living/data/frame-000936.color.jpg,"[-1.5878299474716187, 1.6333199739456177, 1.5478299856185913, -2.0901029109954834, -0.096869558095932, 1.0392541885375977]","[-1.4669851064682007, 1.6021076440811157, 1.5322856903076172, -2.2176761627197266, -0.09820746630430222, 1.116318702697754]",Failed,100,"[-1.254577875137329, 2.0189616680145264, 0.7370780110359192, -2.5373313426971436, 0.3255656659603119, 1.1219849586486816]",1.5148404836654663,"[-0.33325207233428955, -0.3856416940689087, 0.8107519745826721]","[0.44722843170166016, -0.4224352240562439, -0.08273077011108398]",0.9576508884813599,0.6249859369260212
2026-03-12T13:31:31,data/apt1/living/data/frame-001070.color.jpg,"[0.6018589735031128, 0.2902730107307434, 1.2883000373840332, -2.3724215030670166, -0.26650339365005493, -0.4475448727607727]","[0.5668848752975464, 0.26429033279418945, 1.3323899507522583, -2.4526240825653076, -0.2626416087150574, -0.4050961434841156]",Failed,64,"[1.5928279161453247, -1.8147250413894653, 0.19843627512454987, -0.9150083065032959, -0.14866305887699127, 0.5039227604866028]",1.8086121082305908,"[-0.9909689426422119, 2.1049980521202087, 1.0898637622594833]","[-1.4574131965637207, -0.11784033477306366, -0.9514676332473755]",2.5692098522693105,1.8566183342294387
2026-03-12T13:32:23,data/apt1/living/data/frame-000246.color.jpg,"[-0.5995619893074036, 1.3313299417495728, 1.322909951210022, -2.4199259281158447, -0.05630508065223694, -1.489776611328125]","[-0.652344822883606, 1.306799054145813, 1.217161774635315, -2.197838306427002, -0.05302200838923454, -1.3760011196136475]",Failed,93,"[0.3669271767139435, 2.587324857711792, -0.6893390417098999, -2.794545888900757, 1.0617507696151733, 1.6577152013778687]",1.033495545387268,"[-0.966489166021347, -1.2559949159622192, 2.012248992919922]","[0.3746199607849121, -1.1180558502674103, -3.1474918127059937]",2.561400114481691,2.9569744396708586
2026-03-12T13:32:37,data/apt1/living/data/frame-000218.color.jpg,"[-0.41671299934387207, 1.5038399696350098, 1.35903000831604, -2.334596633911133, -0.035013988614082336, -0.9220031499862671]","[-0.43691104650497437, 1.3591909408569336, 1.4639086723327637, -2.161499500274658, -0.03195073828101158, -0.8486255407333374]",Failed,21,"[-0.5235784649848938, 1.2326217889785767, -0.030162213370203972, -0.44877389073371887, -0.04702794551849365, -1.024177074432373]",1.297884464263916,"[0.10686546564102173, 0.2712181806564331, 1.389192221686244]","[-1.885822743177414, 0.012013956904411316, 0.10217392444610596]",1.4194486810233122,1.8835537380157508
2026-03-12T13:33:33,data/apt1/living/data/frame-000298.color.jpg,"[-0.710893988609314, 1.6600699424743652, 1.322659969329834, -2.4486076831817627, -0.06790478527545929, -0.6856213212013245]","[-0.7592209577560425, 1.7720565795898438, 1.3522237539291382, -2.418774127960205, -0.07209857553243637, -0.7203023433685303]",Failed,100,"[-0.6395670175552368, 1.514955759048462, 1.2641257047653198, -2.441521644592285, 0.05615740641951561, -0.5855676531791687]",0.762238621711731,"[-0.07132697105407715, 0.14511418342590332, 0.05853426456451416]","[-0.007086038589477539, -0.1240621916949749, -0.10005366802215576]",0.17196488932111814,0.1595235348026987
2026-03-12T13:34:14,data/apt1/living/data/frame-001088.color.jpg,"[0.4563220143318176, 0.8198140263557434, 1.2837300300598145, -2.449305772781372, -0.2302369773387909, -1.018574595451355]","[0.47578164935112, 0.8262380957603455, 1.271538257598877, -2.6331968307495117, -0.24842046201229095, -1.033501386642456]",Failed,73,"[2.236393690109253, 0.5906862020492554, -0.6416256427764893, -0.4201032817363739, -0.30547624826431274, -1.6333953142166138]",1.2935094833374023,"[-1.7800716757774353, 0.22912782430648804, 1.9253556728363037]","[-2.029202491044998, 0.07523927092552185, 0.6148207187652588]",2.632137761915103,1.9264717117363073
