run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed|Unknown],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-02-19T14:02:05,data/apt1/kitchen/data/frame-000300.color.jpg,"[-1.6965399980545044, -2.7165400981903076, 1.4162399768829346, -2.373383045196533, -0.035693682730197906, 2.7325096130371094]","[-1.616316795349121, -2.60371994972229, 1.3748551607131958, -2.4457671642303467, -0.03695835545659065, 2.629002571105957]",Success,5,"[-1.6844485998153687, -2.69702410697937, 1.4038993120193481, -2.378523111343384, -0.03947446495294571, 2.7366280555725098]",0.04006822779774666,"[-0.012091398239135742, -0.0195159912109375, 0.012340664863586426]","[0.005140066146850586, 0.0037807822227478027, -0.004118442535400391]",0.026064685564919466,0.007489005825076591
2026-02-19T14:02:05,data/apt1/kitchen/data/frame-000616.color.jpg,"[-1.9732799530029297, -3.0561399459838867, 1.4492499828338623, -2.4369702339172363, -0.10679974406957626, 2.851222276687622]","[-1.9382095336914062, -3.1984357833862305, 1.3877379894256592, -2.4513556957244873, -0.11192647367715836, 2.8410933017730713]",Success,4,"[-1.9507461786270142, -3.075913429260254, 1.4464209079742432, -2.443152904510498, -0.12445715814828873, 2.8408029079437256]",0.04327674210071564,"[-0.022533774375915527, 0.019773483276367188, 0.0028290748596191406]","[0.006182670593261719, 0.017657414078712463, 0.010419368743896484]",0.03011254378272897,0.021758521461467877
2026-02-19T14:02:11,data/apt1/kitchen/data/frame-000771.color.jpg,"[-2.051870107650757, -1.1777299642562866, 1.750190019607544, -2.0894436836242676, -0.15934355556964874, 1.6994377374649048]","[-2.086705446243286, -1.1208012104034424, 1.7924809455871582, -2.1120851039886475, -0.16453571617603302, 1.7434483766555786]",Success,3,"[-2.0572516918182373, -1.1599160432815552, 1.7701703310012817, -2.10150146484375, -0.1601105034351349, 1.7089792490005493]",0.04926730692386627,"[0.005381584167480469, -0.017813920974731445, -0.019980311393737793]","[0.012057781219482422, 0.000766947865486145, -0.009541511535644531]",0.027304030325876465,0.014157002303623068
2026-02-19T14:02:11,data/apt1/kitchen/data/frame-000309.color.jpg,"[-1.601580023765564, -2.7147998809814453, 1.3406000137329102, -2.5068349838256836, -0.036743927747011185, 2.672450065612793]","[-1.604356288909912, -2.844402551651001, 1.3063857555389404, -2.440309762954712, -0.03835466876626015, 2.745171546936035]",Success,5,"[-1.6211715936660767, -2.7561075687408447, 1.3145077228546143, -2.527010440826416, -0.026240410283207893, 2.670012950897217]",0.03908788412809372,"[0.019591569900512695, 0.041307687759399414, 0.0260922908782959]","[0.020175457000732422, -0.010503517463803291, 0.002437114715576172]",0.052639930874501674,0.022943515650689226
2026-02-19T14:02:17,data/apt1/kitchen/data/frame-000629.color.jpg,"[-1.906149983406067, -2.945189952850342, 1.4074699878692627, -2.444472551345825, -0.09583316743373871, 2.941925287246704]","[-1.8739490509033203, -2.993223190307617, 1.4266877174377441, -2.412325859069824, -0.09444442391395569, 3.0051753520965576]",Unknown,0,"[NaN, NaN, NaN, NaN, NaN, NaN]",nan,"[NaN, NaN, NaN]","[NaN, NaN, NaN]",nan,nan
2026-02-19T14:02:18,data/apt1/kitchen/data/frame-000511.color.jpg,"[-2.6166799068450928, -2.802380084991455, 1.4181699752807617, -2.190246105194092, -0.08631258457899094, 1.3554248809814453]","[-2.6159474849700928, -2.9275763034820557, 1.3578068017959595, -2.082911252975464, -0.08248241990804672, 1.4050452709197998]",Success,5,"[-2.631556272506714, -2.8035788536071777, 1.4495373964309692, -2.215174436569214, -0.09979081153869629, 1.3440011739730835]",0.04773079603910446,"[0.014876365661621094, 0.0011987686157226562, -0.03136742115020752]","[0.02492833137512207, 0.013478226959705353, 0.011423707008361816]",0.034736989090978894,0.03140841700818282
2026-02-19T14:02:23,data/apt1/kitchen/data/frame-000756.color.jpg,"[-2.0556600093841553, -0.8241410255432129, 1.9352999925613403, -1.854615569114685, -0.09193513542413712, 1.602330207824707]","[-2.016993999481201, -0.7955084443092346, 1.9742316007614136, -1.789202094078064, -0.09337528049945831, 1.6318917274475098]",Success,4,"[-2.042823314666748, -0.8003341555595398, 1.9466774463653564, -1.8481063842773438, -0.07486283034086227, 1.6250672340393066]",0.048062101006507874,"[-0.012836694717407227, -0.023806869983673096, -0.011377453804016113]","[-0.006509184837341309, -0.01707230508327484, -0.02273702621459961]",0.029342703432879976,0.029587966470757777
2026-02-19T14:02:23,data/apt1/kitchen/data/frame-000834.color.jpg,"[-2.16021990776062, -2.073780059814453, 1.4875600337982178, -2.2504804134368896, -0.2616080343723297, 1.504786729812622]","[-2.084075689315796, -2.0139076709747314, 1.5435868501663208, -2.3036410808563232, -0.2718944847583771, 1.4369308948516846]",Success,5,"[-2.1307733058929443, -2.0478363037109375, 1.5051777362823486, -2.251530170440674, -0.2535299062728882, 1.5159763097763062]",0.03891649469733238,"[-0.02944660186767578, -0.025943756103515625, -0.01761770248413086]","[0.0010497570037841797, -0.008078128099441528, -0.011189579963684082]",0.04301818549324764,0.013622768727388055
2026-02-19T14:02:29,data/apt1/kitchen/data/frame-000796.color.jpg,"[-2.1231300830841064, -1.6139800548553467, 1.6523799896240234, -1.9687812328338623, -0.28326818346977234, 1.2986310720443726]","[-2.155186176300049, -1.6124653816223145, 1.5811561346054077, -2.002650499343872, -0.29099687933921814, 1.2953898906707764]",Success,4,"[-2.118499517440796, -1.6045362949371338, 1.6197515726089478, -1.9498659372329712, -0.28186315298080444, 1.301838755607605]",0.04315512627363205,"[-0.004630565643310547, -0.00944375991821289, 0.032628417015075684]","[-0.018915295600891113, -0.0014050304889678955, -0.003207683563232422]",0.03428177849061412,0.02009691213783031
2026-02-19T14:02:29,data/apt1/kitchen/data/frame-000986.color.jpg,"[-2.0038199424743652, -3.126300096511841, 1.4661600589752197, -2.427680253982544, -0.11326607316732407, 2.392145872116089]","[-2.089930295944214, -3.270585775375366, 1.4600844383239746, -2.377114772796631, -0.11329220235347748, 2.384551525115967]",Success,5,"[-2.0385587215423584, -3.201383590698242, 1.5920014381408691, -2.5879013538360596, -0.1009061262011528, 2.351520299911499]",0.045732203871011734,"[0.034738779067993164, 0.07508349418640137, -0.12584137916564941]","[0.16022109985351562, -0.012359946966171265, 0.040625572204589844]",0.15060002184822865,0.16988694731770423
2026-02-19T14:02:36,data/apt1/kitchen/data/frame-000163.color.jpg,"[-2.3526699542999268, -2.469789981842041, 1.4948300123214722, -2.111318349838257, -0.09675025194883347, 1.3517996072769165]","[-2.3293638229370117, -2.4159321784973145, 1.5691622495651245, -2.066185235977173, -0.09821474552154541, 1.340889811515808]",Success,5,"[-2.3456099033355713, -2.42592716217041, 1.5548261404037476, -2.1566622257232666, -0.09198633581399918, 1.391715168952942]",0.0287997554987669,"[-0.007060050964355469, -0.04386281967163086, -0.05999612808227539]","[0.045343875885009766, -0.0047639161348342896, -0.03991556167602539]",0.0746547162209468,0.05771172946783943
2026-02-19T14:02:36,data/apt1/kitchen/data/frame-000668.color.jpg,"[-1.48403000831604, -2.739449977874756, 1.3084900379180908, -2.4900076389312744, -0.11854210495948792, -2.997166156768799]","[-1.477199912071228, -2.627851724624634, 1.3192129135131836, -2.51867413520813, -0.11521853506565094, -2.857234477996826]",Success,5,"[-1.4837687015533447, -2.686924457550049, 1.3025884628295898, -2.4691238403320312, -0.12542882561683655, -2.987696647644043]",0.04187816381454468,"[-0.0002613067626953125, -0.05252552032470703, 0.0059015750885009766]","[-0.020883798599243164, 0.006886720657348633, -0.00946950912475586]",0.05285666613711706,0.024926979995847462
2026-02-19T14:02:42,data/apt1/kitchen/data/frame-001045.color.jpg,"[-1.4298100471496582, -2.8355801105499268, 1.3679900169372559, -2.5528059005737305, -0.036421775817871094, 2.889070987701416]","[-1.4551769495010376, -2.78450608253479, 1.3633759021759033, -2.6115903854370117, -0.034799136221408844, 3.0153849124908447]",Success,5,"[-1.436403512954712, -2.8052127361297607, 1.3604434728622437, -2.537508964538574, -0.03111470490694046, 2.8941943645477295]",0.03489018976688385,"[0.006593465805053711, -0.030367374420166016, 0.007546544075012207]","[-0.01529693603515625, -0.0053070709109306335, -0.0051233768463134766]",0.03197814172169902,0.01713770956650714
2026-02-19T14:02:42,data/apt1/kitchen/data/frame-000140.color.jpg,"[-2.093899965286255, -2.1912999153137207, 1.4452099800109863, -2.285280704498291, -0.08948947489261627, 1.5458093881607056]","[-2.0573654174804688, -2.2282705307006836, 1.4335596561431885, -2.35734486579895, -0.09094825387001038, 1.5865943431854248]",Success,5,"[-2.0788307189941406, -2.1998305320739746, 1.4371517896652222, -2.2820589542388916, -0.08942606300115585, 1.5422929525375366]",0.0390203632414341,"[-0.015069246292114258, 0.008530616760253906, 0.00805819034576416]","[-0.003221750259399414, -6.34118914604187e-05, 0.0035164356231689453]",0.0190994250638937,0.004552445400756128
2026-02-19T14:02:49,data/apt1/kitchen/data/frame-001042.color.jpg,"[-1.4730900526046753, -2.8406100273132324, 1.3591599464416504, -2.5820908546447754, -0.03346953168511391, 2.798170804977417]","[-1.4198369979858398, -2.948227643966675, 1.306754231452942, -2.4701318740844727, -0.03357015922665596, 2.8210034370422363]",Success,5,"[-1.4514344930648804, -2.8518378734588623, 1.3323220014572144, -2.543224811553955, -0.03927719593048096, 2.8004157543182373]",0.047592729330062866,"[-0.021655559539794922, 0.011227846145629883, 0.026837944984436035]","[-0.03886604309082031, 0.00580766424536705, -0.0022449493408203125]",0.03626710739829073,0.03944209809227631
2026-02-19T14:02:49,data/apt1/kitchen/data/frame-000394.color.jpg,"[-2.047369956970215, -0.9503989815711975, 1.8544700145721436, -2.041849136352539, -0.0722489282488823, 1.5473480224609375]","[-2.0972344875335693, -0.9811732172966003, 1.8591859340667725, -1.9729464054107666, -0.07161327451467514, 1.4873089790344238]",Success,5,"[-2.0602879524230957, -0.9629727602005005, 1.8654247522354126, -2.0622403621673584, -0.07906724512577057, 1.542616367340088]",0.04072950780391693,"[0.01291799545288086, 0.012573778629302979, -0.010954737663269043]","[0.020391225814819336, 0.006818316876888275, 0.004731655120849609]",0.021094567850762247,0.022344201877366496
