run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-05T10:40:16,data/playroom/images/DSC05788.jpg,"[-0.33684974908828735, -2.3987104892730713, -0.3410395383834839, 1.2933237552642822, 1.0872639417648315, 1.947708010673523]","[-0.3395409882068634, -2.3195199966430664, -0.28427332639694214, 1.4210275411605835, 0.7951340079307556, 2.3169503211975098]",Success,3,"[-0.34236106276512146, -2.3949129581451416, -0.338798463344574, 1.2936882972717285, 1.0873732566833496, 1.9469317197799683]",0.03162392973899841,"[0.0055113136768341064, -0.0037975311279296875, -0.002241075038909912]","[-0.00036454200744628906, -0.0001093149185180664, 0.0007762908935546875]",0.00705820362713337,0.0011173981980865284
2026-03-05T10:40:17,data/playroom/images/DSC05692.jpg,"[-2.271474599838257, 2.3301076889038086, -1.3789646625518799, -0.572063684463501, 0.7277478575706482, -1.7501592636108398]","[-2.1382551193237305, 2.5940167903900146, -1.2783058881759644, -0.5745912790298462, 0.6042816042900085, -1.4792730808258057]",Success,3,"[-2.266495943069458, 2.331418514251709, -1.3741378784179688, -0.5714184045791626, 0.7282394170761108, -1.749970555305481]",0.028495948761701584,"[-0.004978656768798828, -0.0013108253479003906, -0.004826784133911133]","[-0.0006452798843383789, -0.0004915595054626465, -0.00018870830535888672]",0.007057133369122395,0.0007290974805798961
2026-03-05T10:40:18,data/playroom/images/DSC05705.jpg,"[-2.8198859691619873, 0.6919413208961487, 3.3945159912109375, -1.8589417934417725, 0.4334145784378052, -1.6512477397918701]","[-2.062016487121582, 0.8556315898895264, 3.057549238204956, -2.3818883895874023, 0.30552181601524353, -1.3202757835388184]",Success,4,"[-2.8194687366485596, 0.6773000359535217, 3.3985705375671387, -1.859529972076416, 0.4336285889148712, -1.649801254272461]",0.03308357298374176,"[-0.0004172325134277344, 0.014641284942626953, -0.004054546356201172]","[0.0005881786346435547, -0.00021401047706604004, -0.0014464855194091797]",0.01519804770015018,0.0017885351085991073
2026-03-05T10:40:18,data/playroom/images/DSC05742.jpg,"[0.3615928590297699, 1.8430206775665283, 0.8371561765670776, -0.8945029973983765, 0.30822619795799255, -1.3854824304580688]","[0.3443240821361542, 1.8708397150039673, 0.5881525874137878, -0.8719557523727417, 0.25781580805778503, -1.4947502613067627]",Success,2,"[0.37483328580856323, 1.851863980293274, 0.8331183195114136, -0.8919375538825989, 0.3092595040798187, -1.3856217861175537]",0.031094877049326897,"[-0.013240426778793335, -0.008843302726745605, 0.0040378570556640625]","[-0.002565443515777588, -0.0010333061218261719, 0.00013935565948486328]",0.016426113173950492,0.00280818582670983
2026-03-05T10:40:20,data/playroom/images/DSC05668.jpg,"[-0.6203308701515198, -0.030977584421634674, -0.37247008085250854, -0.37376341223716736, -0.48634299635887146, -0.20843392610549927]","[-0.5514710545539856, -0.025164874270558357, -0.3409542143344879, -0.40870776772499084, -0.4351164400577545, -0.25099506974220276]",Success,12,"[-0.6152458786964417, -0.032605644315481186, -0.3707249164581299, -0.3740392029285431, -0.48747730255126953, -0.20797039568424225]",0.03436904028058052,"[-0.005084991455078125, 0.0016280598938465118, -0.0017451643943786621]","[0.0002757906913757324, 0.0011343061923980713, -0.00046353042125701904]",0.005617233828102236,0.0012074526547073878
2026-03-05T10:40:20,data/playroom/images/DSC05795.jpg,"[-2.7832553386688232, -0.07342908531427383, -2.3437657356262207, 0.2969650626182556, 0.35552552342414856, -1.6069988012313843]","[-2.87152361869812, -0.09531314671039581, -1.8097823858261108, 0.25342032313346863, 0.25204524397850037, -1.6192939281463623]",Success,2,"[-2.7965877056121826, -0.07824596017599106, -2.3402698040008545, 0.2952284812927246, 0.3548523187637329, -1.6072241067886353]",0.03372764214873314,"[0.013332366943359375, 0.004816874861717224, -0.003495931625366211]","[0.0017365813255310059, 0.0006732046604156494, 0.00022530555725097656]",0.014600542102095413,0.00180209479882975
2026-03-05T10:40:22,data/playroom/images/DSC05723.jpg,"[3.631366014480591, 0.4176766574382782, 3.9373621940612793, -3.034853458404541, 0.6313745379447937, -1.587827205657959]","[2.7292613983154297, 0.4276086986064911, 2.8251030445098877, -3.49931263923645, 0.7268152236938477, -1.193678379058838]",Failed,20,"[-6.50825834274292, -2.3508241176605225, 4.258910655975342, 1.6184788942337036, -0.35362640023231506, 1.1284154653549194]",1.0773303508758545,"[10.13962435722351, 2.7685007750988007, -0.3215484619140625]","[-4.653332352638245, 0.9850009381771088, -2.7162426710128784]",10.515701215833506,3.0833579492332395
2026-03-05T10:40:23,data/playroom/images/DSC05605.jpg,"[-3.0528104305267334, -0.8289990425109863, 2.8659439086914062, 2.5021274089813232, -0.10814700275659561, 3.129347085952759]","[-3.0208911895751953, -0.909946620464325, 2.2551417350769043, 2.452960252761841, -0.08029009401798248, 2.7506206035614014]",Success,4,"[-3.0586040019989014, -0.8167538046836853, 2.8779447078704834, 2.504521369934082, -0.10725477337837219, 3.1286704540252686]",0.032485947012901306,"[0.005793571472167969, -0.012245237827301025, -0.012000799179077148]","[-0.002393960952758789, -0.0008922293782234192, 0.0006766319274902344]",0.018097803755893177,0.0025761817156162536
2026-03-05T10:40:24,data/playroom/images/DSC05726.jpg,"[3.190886974334717, 0.0325845442712307, 3.8765552043914795, 2.1117606163024902, 0.42106327414512634, -1.6236045360565186]","[3.5561957359313965, 0.03883904218673706, 4.536296844482422, 1.6985424757003784, 0.3954092264175415, -1.8806122541427612]",Success,4,"[3.199403762817383, 0.029237646609544754, 3.8706700801849365, 2.1108665466308594, 0.42153608798980713, -1.6238234043121338]",0.029817132279276848,"[-0.008516788482666016, 0.0033468976616859436, 0.005885124206542969]","[0.0008940696716308594, -0.00047281384468078613, 0.00021886825561523438]",0.0108798941604553,0.0009543419373194996
2026-03-05T10:40:25,data/playroom/images/DSC05800.jpg,"[2.9830117225646973, -1.4559661149978638, 0.6080715656280518, -0.1368720531463623, 0.43733951449394226, -1.5470129251480103]","[2.2019309997558594, -1.7896990776062012, 0.5907021164894104, -0.14976681768894196, 0.3723488748073578, -1.959289312362671]",Success,5,"[2.9840736389160156, -1.4618982076644897, 0.6078653335571289, -0.1366521567106247, 0.43582797050476074, -1.5470023155212402]",0.0345846451818943,"[-0.0010619163513183594, 0.0059320926666259766, 0.00020623207092285156]","[-0.00021989643573760986, 0.0015115439891815186, -1.0609626770019531e-05]",0.006029918855980743,0.0015268461655173226
